,ID,work_year,experience_level,employment_type,job_title,salary_in_usd,employee_residence,remote_ratio,company_location,company_size,id,salary_group
1,2,2020,SE,FT,Machine Learning Scientist,260000,JP,0,JP,S,1,H
2,3,2020,SE,FT,Big Data Engineer,109024,GB,50,GB,M,2,M
3,4,2020,MI,FT,Product Data Analyst,20000,HN,0,HN,S,3,L
4,5,2020,SE,FT,Machine Learning Engineer,150000,US,50,US,L,4,H
5,6,2020,EN,FT,Data Analyst,72000,US,100,US,L,5,L
6,7,2020,SE,FT,Lead Data Scientist,190000,US,100,US,S,6,H
7,8,2020,MI,FT,Data Scientist,35735,HU,50,HU,L,7,L
8,9,2020,MI,FT,Business Data Analyst,135000,US,100,US,L,8,H
9,10,2020,SE,FT,Lead Data Engineer,125000,NZ,50,NZ,S,9,M
10,11,2020,EN,FT,Data Scientist,51321,FR,0,FR,S,10,L
11,12,2020,MI,FT,Data Scientist,40481,IN,0,IN,L,11,L
12,13,2020,EN,FT,Data Scientist,39916,FR,0,FR,M,12,L
13,14,2020,MI,FT,Lead Data Analyst,87000,US,100,US,L,13,M
14,15,2020,MI,FT,Data Analyst,85000,US,100,US,L,14,M
15,16,2020,MI,FT,Data Analyst,8000,PK,50,PK,L,15,L
16,17,2020,EN,FT,Data Engineer,41689,JP,100,JP,S,16,L
17,18,2020,SE,FT,Big Data Engineer,114047,PL,100,GB,S,17,M
18,19,2020,EN,FT,Data Science Consultant,5707,IN,50,IN,M,18,L
19,20,2020,MI,FT,Lead Data Engineer,56000,PT,100,US,M,19,L
20,21,2020,MI,FT,Machine Learning Engineer,43331,CN,0,CN,M,20,L
21,22,2020,MI,FT,Product Data Analyst,6072,IN,100,IN,L,21,L
22,23,2020,SE,FT,Data Engineer,47899,GR,50,GR,L,22,L
23,24,2020,MI,FT,BI Data Analyst,98000,US,0,US,M,23,M
24,25,2020,MI,FT,Lead Data Scientist,115000,AE,0,AE,L,24,M
25,26,2020,EX,FT,Director of Data Science,325000,US,100,US,L,25,H
26,27,2020,EN,FT,Research Scientist,42000,NL,50,NL,L,26,L
27,28,2020,SE,FT,Data Engineer,33511,MX,0,MX,S,27,L
28,29,2020,EN,CT,Business Data Analyst,100000,US,100,US,L,28,M
29,30,2020,SE,FT,Machine Learning Manager,117104,CA,50,CA,L,29,M
30,31,2020,MI,FT,Data Engineering Manager,59303,DE,100,DE,S,30,L
31,32,2020,EN,FT,Big Data Engineer,70000,US,100,US,L,31,L
32,33,2020,SE,FT,Data Scientist,68428,GR,100,US,L,32,L
33,34,2020,MI,FT,Research Scientist,450000,US,0,US,M,33,H
34,35,2020,MI,FT,Data Analyst,46759,FR,50,FR,L,34,L
35,36,2020,MI,FT,Data Engineer,74130,AT,50,AT,L,35,L
36,37,2020,MI,FT,Data Science Consultant,103000,US,100,US,L,36,M
37,38,2020,EN,FT,Machine Learning Engineer,250000,US,50,US,L,37,H
38,39,2020,EN,FT,Data Analyst,10000,NG,100,NG,S,38,L
39,40,2020,EN,FT,Machine Learning Engineer,138000,US,100,US,S,39,H
40,41,2020,MI,FT,Data Scientist,45760,PH,100,US,S,40,L
41,42,2020,EX,FT,Data Engineering Manager,79833,ES,50,ES,L,41,M
42,43,2020,MI,FT,Machine Learning Infrastructure Engineer,50180,PT,0,PT,M,42,L
43,44,2020,MI,FT,Data Engineer,106000,US,100,US,L,43,M
44,45,2020,MI,FT,Data Engineer,112872,GB,50,GB,L,44,M
45,46,2020,EN,PT,ML Engineer,15966,DE,100,DE,S,45,L
46,47,2020,MI,FT,Data Scientist,76958,GB,100,GB,S,46,M
47,48,2020,SE,FT,Data Engineer,188000,US,100,US,L,47,H
48,49,2020,MI,FT,Data Scientist,105000,US,100,US,L,48,M
49,50,2020,MI,FT,Data Engineer,70139,FR,50,FR,L,49,L
50,51,2020,EN,FT,Data Analyst,6072,IN,0,IN,S,50,L
51,52,2020,EN,FT,Data Analyst,91000,US,100,US,L,51,M
52,53,2020,EN,FT,AI Scientist,45896,DK,50,DK,S,52,L
53,54,2020,EN,FT,Data Engineer,54742,PK,100,DE,L,53,L
54,55,2020,SE,FL,Computer Vision Engineer,60000,RU,100,US,S,54,L
55,56,2020,SE,FT,Principal Data Scientist,148261,DE,100,DE,M,55,H
56,57,2020,MI,FT,Data Scientist,38776,ES,100,ES,M,56,L
57,58,2020,MI,FT,Data Scientist,118000,US,100,US,M,57,M
58,59,2020,SE,FT,Data Scientist,120000,US,50,US,L,58,M
59,60,2020,MI,FT,Data Scientist,138350,US,100,US,M,59,H
60,61,2020,MI,FT,Data Engineer,110000,US,100,US,L,60,M
61,62,2020,MI,FT,Data Engineer,130800,ES,100,US,M,61,H
62,63,2020,EN,PT,Data Scientist,21669,IT,50,IT,S,62,L
63,64,2020,SE,FT,Data Scientist,412000,US,100,US,L,63,H
64,65,2020,SE,FT,Machine Learning Engineer,45618,HR,100,HR,S,64,L
65,66,2020,EN,FT,Data Scientist,62726,DE,50,DE,S,65,L
66,67,2020,EN,FT,Data Scientist,49268,DE,0,DE,S,66,L
67,68,2020,SE,FT,Data Science Manager,190200,US,100,US,M,67,H
68,69,2020,EN,FT,Data Scientist,105000,US,100,US,S,68,M
69,70,2020,SE,FT,Data Scientist,91237,AT,0,AT,S,69,M
70,71,2020,MI,FT,Data Scientist,62726,FR,50,LU,S,70,L
71,72,2020,MI,FT,Data Scientist,42197,FR,50,FR,S,71,L
72,73,2021,EN,FT,Research Scientist,82528,GB,50,GB,L,72,M
73,74,2021,EX,FT,BI Data Analyst,150000,IN,100,US,L,73,H
74,75,2021,EX,FT,Head of Data,235000,US,100,US,L,74,H
75,76,2021,SE,FT,Data Scientist,53192,FR,50,FR,L,75,L
76,77,2021,MI,FT,BI Data Analyst,100000,US,100,US,M,76,M
77,78,2021,MI,PT,3D Computer Vision Researcher,5409,IN,50,IN,M,77,L
78,79,2021,MI,CT,ML Engineer,270000,US,100,US,L,78,H
79,80,2021,EN,FT,Data Analyst,80000,US,100,US,M,79,M
80,81,2021,SE,FT,Data Analytics Engineer,79197,DE,100,DE,L,80,M
81,82,2021,MI,FT,Data Engineer,140000,US,100,US,L,81,H
82,83,2021,MI,FT,Applied Data Scientist,54238,GB,50,CA,L,82,L
83,84,2021,MI,FT,Machine Learning Engineer,47282,ES,100,ES,S,83,L
84,85,2021,EX,FT,Director of Data Science,153667,IT,100,PL,L,84,H
85,86,2021,MI,FT,Data Engineer,28476,PL,100,PL,L,85,L
86,87,2021,EN,FT,Data Analyst,59102,FR,50,FR,M,86,L
87,88,2021,MI,FT,Data Analytics Engineer,110000,US,100,US,L,87,M
88,89,2021,SE,FT,Lead Data Analyst,170000,US,100,US,L,88,H
89,90,2021,SE,FT,Data Analyst,80000,BG,100,US,S,89,M
90,91,2021,SE,FT,Marketing Data Analyst,88654,GR,100,DK,L,90,M
91,92,2021,EN,FT,Data Science Consultant,76833,DE,100,DE,S,91,L
92,93,2021,MI,FT,Lead Data Analyst,19609,IN,100,IN,L,92,L
93,94,2021,SE,FT,Lead Data Engineer,276000,US,0,US,L,93,H
94,95,2021,EN,FT,Data Scientist,29751,IN,50,IN,L,94,L
95,96,2021,MI,FT,Cloud Data Engineer,89294,SG,50,SG,L,95,M
96,97,2021,EN,PT,AI Scientist,12000,BR,100,US,S,96,L
97,98,2021,MI,FT,Financial Data Analyst,450000,US,100,US,L,97,H
98,99,2021,EN,FT,Computer Vision Software Engineer,70000,US,100,US,M,98,L
99,100,2021,MI,FT,Computer Vision Software Engineer,95746,DE,100,US,S,99,M
100,101,2021,MI,FT,Data Analyst,75000,US,0,US,L,100,L
101,102,2021,SE,FT,Data Engineer,150000,US,100,US,L,101,H
102,103,2021,MI,FT,BI Data Analyst,36259,HU,50,US,L,102,L
103,104,2021,MI,FT,Data Analyst,62000,US,0,US,L,103,L
104,105,2021,MI,FT,Data Scientist,73000,US,0,US,L,104,L
105,106,2021,MI,FT,Data Analyst,51519,GB,50,GB,L,105,L
106,107,2021,MI,FT,Research Scientist,187442,CA,100,CA,L,106,H
107,108,2021,SE,FT,Data Engineer,115000,US,100,US,S,107,M
108,109,2021,SE,FT,Data Engineer,150000,US,100,US,M,108,H
109,110,2021,EN,FT,Data Engineer,30428,IN,100,IN,L,109,L
110,111,2021,SE,FT,Machine Learning Engineer,94564,DE,50,DE,L,110,M
111,112,2021,SE,FT,Director of Data Engineering,113476,GB,100,GB,M,111,M
112,113,2021,SE,FT,Lead Data Engineer,103160,GB,100,GB,S,112,M
113,114,2021,EN,PT,AI Scientist,12000,PK,100,US,M,113,L
114,115,2021,MI,FT,Data Engineer,45391,NL,100,NL,L,114,L
115,116,2021,EN,FT,Machine Learning Scientist,225000,US,100,US,L,115,H
116,117,2021,MI,FT,Data Scientist,50000,NG,100,NG,L,116,L
117,118,2021,MI,FT,Data Science Engineer,40189,GR,100,GR,M,117,L
118,119,2021,EN,FT,Data Analyst,90000,US,100,US,S,118,M
119,120,2021,MI,FT,Data Engineer,200000,US,100,US,L,119,H
120,121,2021,MI,FT,Big Data Engineer,60000,ES,50,RO,M,120,L
121,122,2021,SE,FT,Principal Data Engineer,200000,US,100,US,M,121,H
122,123,2021,EN,FT,Data Analyst,50000,US,100,US,M,122,L
123,124,2021,EN,FT,Applied Data Scientist,110037,GB,0,GB,L,123,M
124,125,2021,EN,PT,Data Analyst,10354,ES,50,ES,M,124,L
125,126,2021,MI,FT,Principal Data Scientist,151000,US,100,US,L,125,H
126,127,2021,SE,FT,Machine Learning Scientist,120000,US,50,US,S,126,M
127,128,2021,MI,FT,Data Scientist,9466,IN,0,IN,S,127,L
128,129,2021,EN,FT,Machine Learning Engineer,20000,IN,100,IN,S,128,L
129,130,2021,SE,FT,Lead Data Scientist,40570,IN,50,IN,L,129,L
130,131,2021,EN,FT,Machine Learning Developer,100000,IQ,50,IQ,S,130,M
131,132,2021,EN,FT,Data Scientist,49646,FR,50,FR,M,131,L
132,133,2021,MI,FT,Applied Machine Learning Scientist,38400,VN,100,US,M,132,L
133,134,2021,SE,FT,Computer Vision Engineer,24000,BR,100,BR,M,133,L
134,135,2021,EN,FT,Data Scientist,100000,US,0,US,S,134,M
135,136,2021,MI,FT,Data Analyst,90000,US,100,US,M,135,M
136,137,2021,MI,FT,ML Engineer,63711,JP,50,JP,S,136,L
137,138,2021,MI,FT,ML Engineer,77364,JP,50,JP,S,137,M
138,139,2021,SE,FT,Principal Data Scientist,220000,US,0,US,L,138,H
139,140,2021,EN,FT,Data Scientist,80000,US,100,US,M,139,M
140,141,2021,MI,FT,Data Analyst,135000,US,100,US,L,140,H
141,142,2021,SE,FT,Data Science Manager,240000,US,0,US,L,141,H
142,143,2021,SE,FT,Data Engineering Manager,150000,US,0,US,L,142,H
143,144,2021,MI,FT,Data Scientist,82500,US,100,US,S,143,M
144,145,2021,MI,FT,Data Engineer,100000,US,100,US,L,144,M
145,146,2021,SE,FT,Machine Learning Engineer,82744,BE,50,BE,M,145,M
146,147,2021,MI,FT,Research Scientist,62649,FR,50,FR,M,146,L
147,148,2021,MI,FT,Data Engineer,90000,US,100,US,L,147,M
148,149,2021,SE,FT,Data Engineering Manager,153000,US,100,US,L,148,H
149,150,2021,SE,FT,Cloud Data Engineer,160000,BR,100,US,S,149,H
150,151,2021,SE,FT,Director of Data Science,168000,JP,0,JP,S,150,H
151,152,2021,MI,FT,Data Scientist,150000,US,100,US,M,151,H
152,153,2021,MI,FT,Data Scientist,75774,CA,100,CA,L,152,L
153,154,2021,EN,FT,Data Scientist,13400,UA,100,UA,L,153,L
154,155,2021,SE,FT,Data Science Manager,144000,US,100,US,L,154,H
155,156,2021,SE,FT,Data Science Engineer,127221,CA,50,CA,L,155,M
156,157,2021,MI,FT,Data Scientist,119059,SG,100,IL,M,156,M
157,158,2021,MI,FT,Applied Machine Learning Scientist,423000,US,50,US,L,157,H
158,159,2021,SE,FT,Data Analytics Manager,120000,US,100,US,M,158,M
159,160,2021,EN,FT,Machine Learning Engineer,125000,US,100,US,S,159,M
160,161,2021,EX,FT,Head of Data,230000,RU,50,RU,L,160,H
161,162,2021,EX,FT,Head of Data Science,85000,RU,0,RU,M,161,M
162,163,2021,MI,FT,Data Engineer,28369,MT,50,MT,L,162,L
163,164,2021,EN,FT,Data Science Consultant,63831,DE,50,DE,L,163,L
164,165,2021,EX,FT,Director of Data Science,130026,DE,50,DE,M,164,H
165,166,2021,SE,FT,Data Specialist,165000,US,100,US,L,165,H
166,167,2021,EN,FT,Data Engineer,80000,US,100,US,L,166,M
167,168,2021,EX,FT,Director of Data Science,250000,US,0,US,L,167,H
168,169,2021,EN,FT,BI Data Analyst,55000,US,50,US,S,168,L
169,170,2021,MI,FT,Data Architect,150000,US,100,US,L,169,H
170,171,2021,MI,FT,Data Architect,170000,US,100,US,L,170,H
171,172,2021,MI,FT,Data Engineer,82528,GB,100,GB,L,171,M
172,173,2021,EN,FT,Data Analyst,60000,US,100,US,S,172,L
173,174,2021,SE,FT,Principal Data Scientist,235000,US,100,US,L,173,H
174,175,2021,SE,FT,Research Scientist,60757,PT,50,PT,L,174,L
175,176,2021,SE,FT,Data Engineering Manager,174000,US,100,US,L,175,H
176,177,2021,MI,FT,Data Scientist,2859,MX,0,MX,S,176,L
177,178,2021,MI,FT,Data Scientist,40038,CL,100,CL,L,177,L
178,179,2021,EN,FT,Machine Learning Engineer,81000,US,50,US,S,178,M
179,180,2021,MI,FT,Data Scientist,5679,IN,100,US,S,179,L
180,181,2021,MI,FT,Big Data Engineer,22611,IN,0,IN,L,180,L
181,182,2021,MI,FT,Data Scientist,90734,DE,50,DE,L,181,M
182,183,2021,MI,FT,Data Engineer,26005,RO,0,US,L,182,L
183,184,2021,SE,FT,Finance Data Analyst,61896,GB,50,GB,L,183,L
184,185,2021,MI,FL,Machine Learning Scientist,12000,PK,50,PK,M,184,L
185,186,2021,MI,FT,Data Engineer,4000,IR,100,IR,M,185,L
186,187,2021,SE,FT,Data Analytics Engineer,50000,VN,100,GB,M,186,L
187,188,2021,EX,FT,Data Science Consultant,69741,FR,100,ES,S,187,L
188,189,2021,SE,FT,Data Engineer,76833,RO,50,GB,S,188,L
189,190,2021,MI,FT,Machine Learning Engineer,74000,JP,50,JP,S,189,L
190,191,2021,SE,FT,Data Science Manager,152000,US,100,FR,L,190,H
191,192,2021,EN,FT,Machine Learning Engineer,21844,CO,50,CO,M,191,L
192,193,2021,MI,FT,Big Data Engineer,18000,MD,0,MD,S,192,L
193,194,2021,SE,FT,Data Science Manager,174000,US,100,US,L,193,H
194,195,2021,SE,FT,Research Scientist,96113,CA,50,CA,L,194,M
195,196,2021,MI,FT,Data Scientist,147000,US,50,US,L,195,H
196,197,2021,EN,FT,BI Data Analyst,9272,KE,100,KE,S,196,L
197,198,2021,SE,FT,Machine Learning Engineer,24342,IN,100,IN,L,197,L
198,199,2021,SE,FT,Data Science Manager,54094,IN,50,US,L,198,L
199,200,2021,EN,FT,Data Science Consultant,90000,US,100,US,S,199,M
200,201,2021,MI,FT,Data Scientist,61467,DE,50,AT,M,200,L
201,202,2021,SE,FT,Machine Learning Infrastructure Engineer,195000,US,100,US,M,201,H
202,203,2021,MI,FT,Data Scientist,37825,ES,100,ES,L,202,L
203,204,2021,SE,FT,Research Scientist,50000,FR,100,US,S,203,L
204,205,2021,MI,FT,Data Scientist,160000,US,100,US,L,204,H
205,206,2021,MI,FT,Data Scientist,12901,BR,0,BR,S,205,L
206,207,2021,SE,FT,Machine Learning Engineer,200000,US,100,US,L,206,H
207,208,2021,SE,FT,Data Engineer,165000,US,0,US,M,207,H
208,209,2021,MI,FL,Data Engineer,20000,IT,0,US,L,208,L
209,210,2021,SE,FT,Data Analytics Manager,120000,US,0,US,L,209,M
210,211,2021,MI,FT,Machine Learning Engineer,24823,SI,50,SI,L,210,L
211,212,2021,MI,FT,Research Scientist,56738,FR,50,FR,S,211,L
212,213,2021,MI,FT,Data Engineer,66022,HK,50,GB,S,212,L
213,214,2021,EN,FT,Big Data Engineer,5882,IN,0,CH,L,213,L
214,215,2021,EN,FT,Machine Learning Engineer,24823,DE,50,DE,M,214,L
215,216,2021,SE,FT,Principal Data Engineer,185000,US,100,US,L,215,H
216,217,2021,EN,PT,Computer Vision Engineer,28609,DK,50,DK,S,216,L
217,218,2021,MI,FT,Data Scientist,90734,DE,50,DE,L,217,M
218,219,2021,MI,FT,Machine Learning Engineer,88654,BE,100,BE,M,218,M
219,220,2021,SE,FT,Data Analytics Manager,140000,US,100,US,L,219,H
220,221,2021,MI,FT,Machine Learning Engineer,46597,PL,100,PL,L,220,L
221,222,2021,MI,FT,Data Scientist,116914,GB,50,GB,L,221,M
222,223,2021,MI,FT,Data Scientist,33808,IN,0,IN,M,222,L
223,224,2021,MI,FT,Data Scientist,56256,GB,50,GB,L,223,L
224,225,2021,SE,FT,Machine Learning Scientist,225000,US,100,CA,L,224,H
225,226,2021,EX,CT,Principal Data Scientist,416000,US,100,US,S,225,H
226,227,2021,SE,FT,Data Scientist,87738,CA,100,CA,S,226,M
227,228,2021,MI,FT,Data Scientist,88654,DE,50,DE,L,227,M
228,229,2021,SE,FT,Data Scientist,135000,US,0,US,L,228,H
229,230,2021,SE,FT,Data Analyst,71786,CA,100,CA,M,229,L
230,231,2021,EN,FT,Big Data Engineer,16228,IN,100,IN,L,230,L
231,232,2021,SE,FT,ML Engineer,256000,US,100,US,S,231,H
232,233,2021,SE,FT,Director of Data Engineering,200000,US,100,US,L,232,H
233,234,2021,SE,FT,Data Analyst,200000,US,100,US,L,233,H
234,235,2021,MI,FT,Data Architect,180000,US,100,US,L,234,H
235,236,2021,MI,FT,Head of Data Science,110000,US,0,US,S,235,M
236,237,2021,MI,FT,Research Scientist,63810,CA,100,CA,M,236,L
237,238,2021,MI,FT,Data Scientist,46809,ES,100,ES,M,237,L
238,239,2021,EN,FT,Data Scientist,4000,VN,0,VN,M,238,L
239,240,2021,EN,FT,Data Engineer,21637,IN,50,IN,M,239,L
240,241,2021,SE,FT,Data Scientist,103691,CA,100,CA,L,240,M
241,242,2021,MI,FT,Data Analyst,80000,US,100,US,L,241,M
242,243,2021,MI,FT,Data Engineer,110000,US,100,US,L,242,M
243,244,2021,SE,FT,Data Scientist,165000,US,100,US,L,243,H
244,245,2021,EN,FT,AI Scientist,18053,IN,100,AS,S,244,L
245,246,2021,MI,FT,Data Engineer,72212,GB,50,GB,L,245,L
246,247,2021,EN,FT,Data Scientist,36643,FR,50,FR,L,246,L
247,248,2021,MI,FT,Data Engineer,12103,TR,0,TR,M,247,L
248,249,2021,SE,FT,Data Engineer,96282,GB,50,GB,L,248,M
249,250,2021,SE,FT,Principal Data Analyst,170000,US,100,US,M,249,H
250,251,2021,MI,FT,Data Scientist,115000,US,50,US,L,250,M
251,252,2021,EN,FT,Data Scientist,90000,US,100,US,S,251,M
252,253,2021,EX,FT,Principal Data Engineer,600000,US,100,US,L,252,H
253,254,2021,EN,FT,Data Scientist,28399,IN,100,IN,M,253,L
254,255,2021,MI,FT,Data Analyst,93000,US,100,US,L,254,M
255,256,2021,SE,FT,Big Data Architect,99703,CA,50,CA,M,255,M
256,257,2021,MI,FT,Data Engineer,200000,US,100,US,L,256,H
257,258,2021,SE,FT,Principal Data Scientist,173762,DE,100,DE,M,257,H
258,259,2021,SE,FT,Machine Learning Engineer,185000,US,50,US,L,258,H
259,260,2021,EX,FT,Director of Data Science,141846,DE,0,DE,L,259,H
260,261,2021,MI,FT,Data Scientist,130000,US,50,US,L,260,M
261,262,2021,SE,FT,Data Analyst,63831,DE,50,DE,L,261,L
262,263,2021,MI,FT,Data Scientist,16904,IN,100,IN,S,262,L
263,264,2021,SE,FT,Machine Learning Engineer,66265,IN,0,IN,L,263,L
264,265,2021,MI,FT,Data Scientist,25532,RS,100,DE,S,264,L
265,266,2021,SE,FT,Lead Data Engineer,160000,PR,50,US,S,265,H
266,267,2021,MI,FT,Data Engineer,93150,US,0,US,M,266,M
267,268,2021,MI,FT,Data Engineer,111775,US,0,US,M,267,M
268,269,2021,MI,FT,Data Engineer,28016,TR,100,TR,M,268,L
269,270,2021,EN,FT,Data Engineer,65013,DE,50,DE,M,269,L
270,271,2021,EN,FT,Data Engineer,72500,US,100,US,L,270,L
271,272,2021,SE,FT,Computer Vision Engineer,18907,BR,0,BR,M,271,L
272,273,2021,EN,FT,Data Science Consultant,76833,DE,0,DE,L,272,L
273,274,2021,EN,FT,Machine Learning Engineer,85000,NL,100,DE,S,273,M
274,275,2021,SE,FT,Data Scientist,77684,FR,50,FR,M,274,M
275,276,2021,EN,FT,Data Scientist,100000,US,100,US,M,275,M
276,277,2021,EN,FT,Data Scientist,58000,US,50,US,L,276,L
277,278,2021,SE,FT,AI Scientist,55000,ES,100,ES,L,277,L
278,279,2021,SE,FT,Data Scientist,20171,TR,50,TR,L,278,L
279,280,2021,EN,FT,Business Data Analyst,59102,LU,100,LU,L,279,L
280,281,2021,MI,FT,Data Engineer,112000,US,100,US,L,280,M
281,282,2021,EN,FT,Research Scientist,100000,JE,0,CN,L,281,M
282,283,2021,MI,PT,Data Engineer,69741,NL,100,NL,L,282,L
283,284,2021,SE,CT,Staff Data Scientist,105000,US,100,US,M,283,M
284,285,2021,MI,FT,Research Scientist,69999,CZ,50,CZ,L,284,L
285,286,2021,SE,FT,Data Science Manager,94665,IN,50,IN,L,285,M
286,287,2021,SE,FT,Head of Data,102839,SI,100,SI,L,286,M
287,288,2021,MI,FT,Data Scientist,109000,US,50,US,L,287,M
288,289,2021,MI,FT,Machine Learning Engineer,51064,IT,50,IT,L,288,L
289,290,2022,SE,FT,Data Engineer,135000,US,100,US,M,289,H
290,291,2022,SE,FT,Data Analyst,155000,US,100,US,M,290,H
291,292,2022,SE,FT,Data Analyst,120600,US,100,US,M,291,M
292,293,2022,MI,FT,Data Scientist,130000,US,0,US,M,292,M
293,294,2022,MI,FT,Data Scientist,90000,US,0,US,M,293,M
294,295,2022,MI,FT,Data Engineer,170000,US,100,US,M,294,H
295,296,2022,MI,FT,Data Engineer,150000,US,100,US,M,295,H
296,297,2022,SE,FT,Data Analyst,102100,US,100,US,M,296,M
297,298,2022,SE,FT,Data Analyst,84900,US,100,US,M,297,M
298,299,2022,SE,FT,Data Scientist,136620,US,100,US,M,298,H
299,300,2022,SE,FT,Data Scientist,99360,US,100,US,M,299,M
