salary_in_usd,salary_group,nd_work_year,nd_experience_level,nd_employment_type,nd_job_title,nd_employee_residence,nd_remote_ratio,nd_company_location,nd_company_size
79833,M,0,0.189836079,0.519729373,0.245068968,0.414982993,0.625941503,0.505273978,1
260000,H,0,0.557040111,0.519729373,0.382900266,0.507845481,0.625941503,0.717441911,0
109024,M,0,0.557040111,0.519729373,0.116531654,0.395255458,0,0.505859935,0.915551539
20000,L,0,0.189836079,0.519729373,0.019087016,0.081632653,0.625941503,0.104234528,0
150000,H,0,0.557040111,0.519729373,0.239635348,0.745382238,0,0.913960871,1
72000,L,0,0,0.519729373,0.21191818,0.745382238,1,0.913960871,1
190000,H,0,0.557040111,0.519729373,0.274733415,0.745382238,1,0.913960871,0
35735,L,0,0.189836079,0.519729373,0.245068968,0.16325,0,0.206742671,1
135000,H,0,0.189836079,0.519729373,0.178387902,0.745382238,1,0.913960871,1
125000,M,0,0.557040111,0.519729373,0.336132445,0.617346939,0,0.788273616,0
51321,L,0,0,0.519729373,0.245068968,0.285135771,0.625941503,0.390688382,0
40481,L,0,0.189836079,0.519729373,0.245068968,0.170011905,0.625941503,0.160141694,1
39916,L,0,0,0.519729373,0.245068968,0.285135771,0.625941503,0.390688382,0.915551539
87000,M,0,0.189836079,0.519729373,0.217207094,0.745382238,1,0.913960871,1
85000,M,0,0.189836079,0.519729373,0.21191818,0.745382238,1,0.913960871,1
8000,L,0,0.189836079,0.519729373,0.21191818,0.119708333,0,0.060803474,1
41689,L,0,0,0.519729373,0.261119577,0.507845481,1,0.717441911,0
114047,M,0,0.557040111,0.519729373,0.116531654,0.266211735,1,0.505859935,0
5707,L,0,0,0.519729373,0.160193083,0.170011905,0,0.160141694,0.915551539
56000,L,0,0.189836079,0.519729373,0.336132445,0.198278061,1,0.913960871,0.915551539
43331,L,0,0.189836079,0.519729373,0.239635348,0.200668367,0.625941503,0.44081759,0.915551539
6072,L,0,0.189836079,0.519729373,0.019087016,0.170011905,1,0.160141694,1
47899,L,0,0.557040111,0.519729373,0.261119577,0.267580357,0,0.312877524,1
98000,M,0,0.189836079,0.519729373,0.173542864,0.745382238,0.625941503,0.913960871,0.915551539
115000,M,0,0.189836079,0.519729373,0.274733415,0.489795918,0.625941503,0.625407166,1
325000,H,0,1,0.519729373,0.474647827,0.745382238,1,0.913960871,1
42000,L,0,0,0.519729373,0.259291375,0.290594898,0,0.331894137,1
33511,L,0,0.557040111,0.519729373,0.261119577,0.072372449,0.625941503,0.183213898,0
100000,M,0,0,1,0.178387902,0.745382238,1,0.913960871,1
117104,M,0,0.557040111,0.519729373,0.279523313,0.475467498,0,0.626201024,1
59303,L,0,0.189836079,0.519729373,0.294846981,0.414982993,1,0.505273978,0
70000,L,0,0,0.519729373,0.116531654,0.745382238,1,0.913960871,1
68428,L,0,0.557040111,0.519729373,0.245068968,0.267580357,1,0.913960871,1
450000,H,0,0.189836079,0.519729373,0.259291375,0.745382238,0.625941503,0.913960871,0.915551539
46759,L,0,0.189836079,0.519729373,0.21191818,0.285135771,0,0.390688382,1
74130,M,0,0.189836079,0.519729373,0.261119577,0.371115646,0,0.448995114,1
103000,M,0,0.189836079,0.519729373,0.160193083,0.745382238,1,0.913960871,1
250000,H,0,0,0.519729373,0.239635348,0.745382238,0,0.913960871,1
10000,L,0,0,0.519729373,0.21191818,0.132653061,1,0.169381107,0
138000,H,0,0,0.519729373,0.239635348,0.745382238,1,0.913960871,0
45760,L,0,0.189836079,0.519729373,0.245068968,0.213061224,1,0.913960871,0
79833,M,0,1,0.519729373,0.294846981,0.273435714,0,0.319610051,1
50180,L,0,0.189836079,0.519729373,0.239584976,0.198278061,0.625941503,0.285301303,0.915551539
106000,M,0,0.189836079,0.519729373,0.261119577,0.745382238,1,0.913960871,1
112872,M,0,0.189836079,0.519729373,0.261119577,0.395255458,0,0.505859935,1
15966,L,0,0,0,0.280524336,0.414982993,1,0.505273978,0
76958,M,0,0.189836079,0.519729373,0.245068968,0.395255458,1,0.505859935,0
188000,H,0,0.557040111,0.519729373,0.261119577,0.745382238,1,0.913960871,1
105000,M,0,0.189836079,0.519729373,0.245068968,0.745382238,1,0.913960871,1
70139,L,0,0.189836079,0.519729373,0.261119577,0.285135771,0,0.390688382,1
6072,L,0,0,0.519729373,0.21191818,0.170011905,0.625941503,0.160141694,0
91000,M,0,0,0.519729373,0.21191818,0.745382238,1,0.913960871,1
45896,L,0,0,0.519729373,0.15197182,0.169655612,0,0.328249729,0
54742,L,0,0,0.519729373,0.261119577,0.119708333,1,0.505273978,1
60000,L,0,0.557040111,0.098541627,0.097625656,0.519132653,1,0.913960871,0
148261,H,0,0.557040111,0.519729373,0.525120507,0.414982993,1,0.505273978,0.915551539
38776,L,0,0.189836079,0.519729373,0.245068968,0.273435714,1,0.319610051,0.915551539
118000,M,0,0.189836079,0.519729373,0.245068968,0.745382238,1,0.913960871,0.915551539
120000,M,0,0.557040111,0.519729373,0.245068968,0.745382238,0,0.913960871,1
138350,H,0,0.189836079,0.519729373,0.245068968,0.745382238,1,0.913960871,0.915551539
110000,M,0,0.189836079,0.519729373,0.261119577,0.745382238,1,0.913960871,1
130800,H,0,0.189836079,0.519729373,0.261119577,0.273435714,1,0.913960871,0.915551539
21669,L,0,0,0,0.245068968,0.293877551,0,0.210856678,0
412000,H,0,0.557040111,0.519729373,0.245068968,0.745382238,1,0.913960871,1
45618,L,0,0.557040111,0.519729373,0.239635348,0.212336735,1,0.271127036,0
62726,L,0,0,0.519729373,0.245068968,0.414982993,0,0.505273978,0
49268,L,0,0,0.519729373,0.245068968,0.414982993,0.625941503,0.505273978,0
190200,H,0,0.557040111,0.519729373,0.382690051,0.745382238,1,0.913960871,0.915551539
105000,M,0,0,0.519729373,0.245068968,0.745382238,1,0.913960871,0
91237,M,0,0.557040111,0.519729373,0.245068968,0.371115646,0.625941503,0.448995114,0
62726,L,0,0.189836079,0.519729373,0.245068968,0.285135771,0,0.260212812,0
42197,L,0,0.189836079,0.519729373,0.245068968,0.285135771,0,0.390688382,0
82528,M,0.132622125,0,0.519729373,0.259291375,0.395255458,0,0.505859935,1
150000,H,0.132622125,1,0.519729373,0.173542864,0.170011905,1,0.913960871,1
235000,H,0.132622125,1,0.519729373,0.387279994,0.745382238,1,0.913960871,1
53192,L,0.132622125,0.557040111,0.519729373,0.245068968,0.285135771,0,0.390688382,1
100000,M,0.132622125,0.189836079,0.519729373,0.173542864,0.745382238,1,0.913960871,0.915551539
5409,L,0.132622125,0.189836079,0,0,0.170011905,0,0.160141694,0.915551539
270000,H,0.132622125,0.189836079,1,0.280524336,0.745382238,1,0.913960871,1
80000,M,0.132622125,0,0.519729373,0.21191818,0.745382238,1,0.913960871,0.915551539
79197,M,0.132622125,0.557040111,0.519729373,0.148627597,0.414982993,1,0.505273978,1
140000,H,0.132622125,0.189836079,0.519729373,0.261119577,0.745382238,1,0.913960871,1
54238,L,0.132622125,0.189836079,0.519729373,0.426050637,0.395255458,0,0.626201024,1
47282,L,0.132622125,0.189836079,0.519729373,0.239635348,0.273435714,1,0.319610051,0
153667,H,0.132622125,1,0.519729373,0.474647827,0.293877551,1,0.404446254,1
28476,L,0.132622125,0.189836079,0.519729373,0.261119577,0.266211735,1,0.404446254,1
59102,L,0.132622125,0,0.519729373,0.21191818,0.285135771,0,0.390688382,0.915551539
110000,M,0.132622125,0.189836079,0.519729373,0.148627597,0.745382238,1,0.913960871,1
170000,H,0.132622125,0.557040111,0.519729373,0.217207094,0.745382238,1,0.913960871,1
80000,M,0.132622125,0.557040111,0.519729373,0.21191818,0.387755102,1,0.913960871,0
88654,M,0.132622125,0.557040111,0.519729373,0.208325513,0.267580357,1,0.328249729,1
76833,M,0.132622125,0,0.519729373,0.160193083,0.414982993,1,0.505273978,0
19609,L,0.132622125,0.189836079,0.519729373,0.217207094,0.170011905,1,0.160141694,1
276000,H,0.132622125,0.557040111,0.519729373,0.336132445,0.745382238,0.625941503,0.913960871,1
29751,L,0.132622125,0,0.519729373,0.245068968,0.170011905,0,0.160141694,1
89294,M,0.132622125,0.189836079,0.519729373,0.298400114,0.511104592,0,0.555661238,1
12000,L,0.132622125,0,0,0.15197182,0.258340136,1,0.913960871,0
450000,H,0.132622125,0.189836079,0.519729373,0.674667347,0.745382238,1,0.913960871,1
70000,L,0.132622125,0,0.519729373,0.249854643,0.745382238,1,0.913960871,0.915551539
95746,M,0.132622125,0.189836079,0.519729373,0.249854643,0.414982993,1,0.913960871,0
75000,M,0.132622125,0.189836079,0.519729373,0.21191818,0.745382238,0.625941503,0.913960871,1
150000,H,0.132622125,0.557040111,0.519729373,0.261119577,0.745382238,1,0.913960871,1
36259,L,0.132622125,0.189836079,0.519729373,0.173542864,0.16325,0,0.913960871,1
62000,L,0.132622125,0.189836079,0.519729373,0.21191818,0.745382238,0.625941503,0.913960871,1
73000,L,0.132622125,0.189836079,0.519729373,0.245068968,0.745382238,0.625941503,0.913960871,1
51519,L,0.132622125,0.189836079,0.519729373,0.21191818,0.395255458,0,0.505859935,1
187442,H,0.132622125,0.189836079,0.519729373,0.259291375,0.475467498,1,0.626201024,1
115000,M,0.132622125,0.557040111,0.519729373,0.261119577,0.745382238,1,0.913960871,0
150000,H,0.132622125,0.557040111,0.519729373,0.261119577,0.745382238,1,0.913960871,0.915551539
30428,L,0.132622125,0,0.519729373,0.261119577,0.170011905,1,0.160141694,1
94564,M,0.132622125,0.557040111,0.519729373,0.239635348,0.414982993,0,0.505273978,1
113476,M,0.132622125,0.557040111,0.519729373,0.378709731,0.395255458,1,0.505859935,0.915551539
103160,M,0.132622125,0.557040111,0.519729373,0.336132445,0.395255458,1,0.505859935,0
12000,L,0.132622125,0,0,0.15197182,0.119708333,1,0.913960871,0.915551539
45391,L,0.132622125,0.189836079,0.519729373,0.261119577,0.290594898,1,0.331894137,1
225000,H,0.132622125,0,0.519729373,0.382900266,0.745382238,1,0.913960871,1
50000,L,0.132622125,0.189836079,0.519729373,0.245068968,0.132653061,1,0.169381107,1
40189,L,0.132622125,0.189836079,0.519729373,0.176165963,0.267580357,1,0.312877524,0.915551539
90000,M,0.132622125,0,0.519729373,0.21191818,0.745382238,1,0.913960871,0
200000,H,0.132622125,0.189836079,0.519729373,0.261119577,0.745382238,1,0.913960871,1
60000,L,0.132622125,0.189836079,0.519729373,0.116531654,0.273435714,0,0.364820847,0.915551539
200000,H,0.132622125,0.557040111,0.519729373,0.808137154,0.745382238,1,0.913960871,0.915551539
50000,L,0.132622125,0,0.519729373,0.21191818,0.745382238,1,0.913960871,0.915551539
110037,M,0.132622125,0,0.519729373,0.426050637,0.395255458,0.625941503,0.505859935,1
10354,L,0.132622125,0,0,0.21191818,0.273435714,0,0.319610051,0.915551539
151000,H,0.132622125,0.189836079,0.519729373,0.525120507,0.745382238,1,0.913960871,1
120000,M,0.132622125,0.557040111,0.519729373,0.382900266,0.745382238,0,0.913960871,0
9466,L,0.132622125,0.189836079,0.519729373,0.245068968,0.170011905,0.625941503,0.160141694,0
20000,L,0.132622125,0,0.519729373,0.239635348,0.170011905,1,0.160141694,0
40570,L,0.132622125,0.557040111,0.519729373,0.274733415,0.170011905,0,0.160141694,1
100000,M,0.132622125,0,0.519729373,0.201335032,0.489795918,0,0.625407166,0
49646,L,0.132622125,0,0.519729373,0.245068968,0.285135771,0,0.390688382,0.915551539
38400,L,0.132622125,0.189836079,0.519729373,0.341999069,0.136734694,1,0.913960871,0.915551539
24000,L,0.132622125,0.557040111,0.519729373,0.097625656,0.258340136,1,0.095131379,0.915551539
100000,M,0.132622125,0,0.519729373,0.245068968,0.745382238,0.625941503,0.913960871,0
90000,M,0.132622125,0.189836079,0.519729373,0.21191818,0.745382238,1,0.913960871,0.915551539
63711,L,0.132622125,0.189836079,0.519729373,0.280524336,0.507845481,0,0.717441911,0
77364,M,0.132622125,0.189836079,0.519729373,0.280524336,0.507845481,0,0.717441911,0
220000,H,0.132622125,0.557040111,0.519729373,0.525120507,0.745382238,0.625941503,0.913960871,1
80000,M,0.132622125,0,0.519729373,0.245068968,0.745382238,1,0.913960871,0.915551539
135000,H,0.132622125,0.189836079,0.519729373,0.21191818,0.745382238,1,0.913960871,1
240000,H,0.132622125,0.557040111,0.519729373,0.382690051,0.745382238,0.625941503,0.913960871,1
150000,H,0.132622125,0.557040111,0.519729373,0.294846981,0.745382238,0.625941503,0.913960871,1
82500,M,0.132622125,0.189836079,0.519729373,0.245068968,0.745382238,1,0.913960871,0
100000,M,0.132622125,0.189836079,0.519729373,0.261119577,0.745382238,1,0.913960871,1
82744,M,0.132622125,0.557040111,0.519729373,0.239635348,0.416831633,0,0.532241042,0.915551539
62649,L,0.132622125,0.189836079,0.519729373,0.259291375,0.285135771,0,0.390688382,0.915551539
90000,M,0.132622125,0.189836079,0.519729373,0.261119577,0.745382238,1,0.913960871,1
153000,H,0.132622125,0.557040111,0.519729373,0.294846981,0.745382238,1,0.913960871,1
160000,H,0.132622125,0.557040111,0.519729373,0.298400114,0.258340136,1,0.913960871,0
168000,H,0.132622125,0.557040111,0.519729373,0.474647827,0.507845481,0.625941503,0.717441911,0
150000,H,0.132622125,0.189836079,0.519729373,0.245068968,0.745382238,1,0.913960871,0.915551539
75774,M,0.132622125,0.189836079,0.519729373,0.245068968,0.475467498,1,0.626201024,1
13400,L,0.132622125,0,0.519729373,0.245068968,0.047959184,1,0.061237785,1
144000,H,0.132622125,0.557040111,0.519729373,0.382690051,0.745382238,1,0.913960871,1
127221,M,0.132622125,0.557040111,0.519729373,0.176165963,0.475467498,0,0.626201024,1
119059,M,0.132622125,0.189836079,0.519729373,0.245068968,0.511104592,1,0.749570033,0.915551539
423000,H,0.132622125,0.189836079,0.519729373,0.341999069,0.745382238,0,0.913960871,1
120000,M,0.132622125,0.557040111,0.519729373,0.304624693,0.745382238,1,0.913960871,0.915551539
125000,M,0.132622125,0,0.519729373,0.239635348,0.745382238,1,0.913960871,0
230000,H,0.132622125,1,0.519729373,0.387279994,0.519132653,0,1,1
85000,M,0.132622125,1,0.519729373,0.353635968,0.519132653,0.625941503,1,0.915551539
28369,L,0.132622125,0.189836079,0.519729373,0.261119577,0.124331633,0,0.1587557,1
63831,L,0.132622125,0,0.519729373,0.160193083,0.414982993,0,0.505273978,1
130026,H,0.132622125,1,0.519729373,0.474647827,0.414982993,0,0.505273978,0.915551539
165000,H,0.132622125,0.557040111,0.519729373,0.399385872,0.745382238,1,0.913960871,1
80000,M,0.132622125,0,0.519729373,0.261119577,0.745382238,1,0.913960871,1
250000,H,0.132622125,1,0.519729373,0.474647827,0.745382238,0.625941503,0.913960871,1
55000,L,0.132622125,0,0.519729373,0.173542864,0.745382238,0,0.913960871,0
150000,H,0.132622125,0.189836079,0.519729373,0.431603587,0.745382238,1,0.913960871,1
170000,H,0.132622125,0.189836079,0.519729373,0.431603587,0.745382238,1,0.913960871,1
82528,M,0.132622125,0.189836079,0.519729373,0.261119577,0.395255458,1,0.505859935,1
60000,L,0.132622125,0,0.519729373,0.21191818,0.745382238,1,0.913960871,0
235000,H,0.132622125,0.557040111,0.519729373,0.525120507,0.745382238,1,0.913960871,1
60757,L,0.132622125,0.557040111,0.519729373,0.259291375,0.198278061,0,0.285301303,1
174000,H,0.132622125,0.557040111,0.519729373,0.294846981,0.745382238,1,0.913960871,1
2859,L,0.132622125,0.189836079,0.519729373,0.245068968,0.072372449,0.625941503,0.183213898,0
40038,L,0.132622125,0.189836079,0.519729373,0.245068968,0.183867347,1,0.234775244,1
81000,M,0.132622125,0,0.519729373,0.239635348,0.745382238,0,0.913960871,0
5679,L,0.132622125,0.189836079,0.519729373,0.245068968,0.170011905,1,0.913960871,0
22611,L,0.132622125,0.189836079,0.519729373,0.116531654,0.170011905,0.625941503,0.160141694,1
90734,M,0.132622125,0.189836079,0.519729373,0.245068968,0.414982993,0,0.505273978,1
26005,L,0.132622125,0.189836079,0.519729373,0.261119577,0.241933673,0.625941503,0.913960871,1
61896,L,0.132622125,0.557040111,0.519729373,0.141362043,0.395255458,0,0.505859935,1
12000,L,0.132622125,0.189836079,0.098541627,0.382900266,0.119708333,0,0.060803474,0.915551539
4000,L,0.132622125,0.189836079,0.519729373,0.261119577,0,1,0,0.915551539
50000,L,0.132622125,0.557040111,0.519729373,0.148627597,0.136734694,1,0.505859935,0.915551539
69741,L,0.132622125,1,0.519729373,0.160193083,0.285135771,1,0.319610051,0
76833,M,0.132622125,0.557040111,0.519729373,0.261119577,0.241933673,0,0.505859935,0
74000,L,0.132622125,0.189836079,0.519729373,0.239635348,0.507845481,0,0.717441911,0
152000,H,0.132622125,0.557040111,0.519729373,0.382690051,0.745382238,1,0.390688382,1
21844,L,0.132622125,0,0.519729373,0.239635348,0.091040816,0,0.116247557,0.915551539
18000,L,0.132622125,0.189836079,0.519729373,0.116531654,0.071428571,0.625941503,0.091205212,0
174000,H,0.132622125,0.557040111,0.519729373,0.382690051,0.745382238,1,0.913960871,1
96113,M,0.132622125,0.557040111,0.519729373,0.259291375,0.475467498,0,0.626201024,1
147000,H,0.132622125,0.189836079,0.519729373,0.245068968,0.745382238,0,0.913960871,1
9272,L,0.132622125,0,0.519729373,0.173542864,0.026897959,1,0.034345277,0
24342,L,0.132622125,0.557040111,0.519729373,0.239635348,0.170011905,1,0.160141694,1
54094,L,0.132622125,0.557040111,0.519729373,0.382690051,0.170011905,0,0.913960871,1
90000,M,0.132622125,0,0.519729373,0.160193083,0.745382238,1,0.913960871,0
61467,L,0.132622125,0.189836079,0.519729373,0.245068968,0.414982993,0,0.448995114,0.915551539
195000,H,0.132622125,0.557040111,0.519729373,0.239584976,0.745382238,1,0.913960871,0.915551539
37825,L,0.132622125,0.189836079,0.519729373,0.245068968,0.273435714,1,0.319610051,1
50000,L,0.132622125,0.557040111,0.519729373,0.259291375,0.285135771,1,0.913960871,0
160000,H,0.132622125,0.189836079,0.519729373,0.245068968,0.745382238,1,0.913960871,1
12901,L,0.132622125,0.189836079,0.519729373,0.245068968,0.258340136,0.625941503,0.095131379,0
200000,H,0.132622125,0.557040111,0.519729373,0.239635348,0.745382238,1,0.913960871,1
165000,H,0.132622125,0.557040111,0.519729373,0.261119577,0.745382238,0.625941503,0.913960871,0.915551539
20000,L,0.132622125,0.189836079,0.098541627,0.261119577,0.293877551,0.625941503,0.913960871,1
120000,M,0.132622125,0.557040111,0.519729373,0.304624693,0.745382238,0.625941503,0.913960871,1
24823,L,0.132622125,0.189836079,0.519729373,0.239635348,0.305260204,0,0.389778502,1
56738,L,0.132622125,0.189836079,0.519729373,0.259291375,0.285135771,0,0.390688382,0
66022,L,0.132622125,0.189836079,0.519729373,0.261119577,0.316438776,0,0.505859935,0
5882,L,0.132622125,0,0.519729373,0.116531654,0.170011905,0.625941503,0.39162215,1
24823,L,0.132622125,0,0.519729373,0.239635348,0.414982993,0,0.505273978,0.915551539
185000,H,0.132622125,0.557040111,0.519729373,0.808137154,0.745382238,1,0.913960871,1
28609,L,0.132622125,0,0,0.097625656,0.169655612,0,0.328249729,0
88654,M,0.132622125,0.189836079,0.519729373,0.239635348,0.416831633,1,0.532241042,0.915551539
140000,H,0.132622125,0.557040111,0.519729373,0.304624693,0.745382238,1,0.913960871,1
46597,L,0.132622125,0.189836079,0.519729373,0.239635348,0.266211735,1,0.404446254,1
116914,M,0.132622125,0.189836079,0.519729373,0.245068968,0.395255458,0,0.505859935,1
33808,L,0.132622125,0.189836079,0.519729373,0.245068968,0.170011905,0.625941503,0.160141694,0.915551539
56256,L,0.132622125,0.189836079,0.519729373,0.245068968,0.395255458,0,0.505859935,1
225000,H,0.132622125,0.557040111,0.519729373,0.382900266,0.745382238,1,0.626201024,1
416000,H,0.132622125,1,1,0.525120507,0.745382238,1,0.913960871,0
87738,M,0.132622125,0.557040111,0.519729373,0.245068968,0.475467498,1,0.626201024,0
88654,M,0.132622125,0.189836079,0.519729373,0.245068968,0.414982993,0,0.505273978,1
135000,H,0.132622125,0.557040111,0.519729373,0.245068968,0.745382238,0.625941503,0.913960871,1
71786,L,0.132622125,0.557040111,0.519729373,0.21191818,0.475467498,1,0.626201024,0.915551539
16228,L,0.132622125,0,0.519729373,0.116531654,0.170011905,1,0.160141694,1
256000,H,0.132622125,0.557040111,0.519729373,0.280524336,0.745382238,1,0.913960871,0
200000,H,0.132622125,0.557040111,0.519729373,0.378709731,0.745382238,1,0.913960871,1
200000,H,0.132622125,0.557040111,0.519729373,0.21191818,0.745382238,1,0.913960871,1
180000,H,0.132622125,0.189836079,0.519729373,0.431603587,0.745382238,1,0.913960871,1
110000,M,0.132622125,0.189836079,0.519729373,0.353635968,0.745382238,0.625941503,0.913960871,0
63810,L,0.132622125,0.189836079,0.519729373,0.259291375,0.475467498,1,0.626201024,0.915551539
46809,L,0.132622125,0.189836079,0.519729373,0.245068968,0.273435714,1,0.319610051,0.915551539
4000,L,0.132622125,0,0.519729373,0.245068968,0.136734694,0.625941503,0,0.915551539
21637,L,0.132622125,0,0.519729373,0.261119577,0.170011905,0,0.160141694,0.915551539
103691,M,0.132622125,0.557040111,0.519729373,0.245068968,0.475467498,1,0.626201024,1
80000,M,0.132622125,0.189836079,0.519729373,0.21191818,0.745382238,1,0.913960871,1
110000,M,0.132622125,0.189836079,0.519729373,0.261119577,0.745382238,1,0.913960871,1
165000,H,0.132622125,0.557040111,0.519729373,0.245068968,0.745382238,1,0.913960871,1
18053,L,0.132622125,0,0.519729373,0.15197182,0.170011905,1,0.091550489,0
72212,L,0.132622125,0.189836079,0.519729373,0.261119577,0.395255458,0,0.505859935,1
36643,L,0.132622125,0,0.519729373,0.245068968,0.285135771,0,0.390688382,1
12103,L,0.132622125,0.189836079,0.519729373,0.261119577,0.08212585,0.625941503,0.104864278,0.915551539
96282,M,0.132622125,0.557040111,0.519729373,0.261119577,0.395255458,0,0.505859935,1
170000,H,0.132622125,0.557040111,0.519729373,0.29302712,0.745382238,1,0.913960871,0.915551539
115000,M,0.132622125,0.189836079,0.519729373,0.245068968,0.745382238,0,0.913960871,1
90000,M,0.132622125,0,0.519729373,0.245068968,0.745382238,1,0.913960871,0
600000,H,0.132622125,1,0.519729373,0.808137154,0.745382238,1,0.913960871,1
28399,L,0.132622125,0,0.519729373,0.245068968,0.170011905,1,0.160141694,0.915551539
93000,M,0.132622125,0.189836079,0.519729373,0.21191818,0.745382238,1,0.913960871,1
99703,M,0.132622125,0.557040111,0.519729373,0.235976286,0.475467498,0,0.626201024,0.915551539
173762,H,0.132622125,0.557040111,0.519729373,0.525120507,0.414982993,1,0.505273978,0.915551539
185000,H,0.132622125,0.557040111,0.519729373,0.239635348,0.745382238,0,0.913960871,1
141846,H,0.132622125,1,0.519729373,0.474647827,0.414982993,0.625941503,0.505273978,1
130000,H,0.132622125,0.189836079,0.519729373,0.245068968,0.745382238,0,0.913960871,1
63831,L,0.132622125,0.557040111,0.519729373,0.21191818,0.414982993,0,0.505273978,1
16904,L,0.132622125,0.189836079,0.519729373,0.245068968,0.170011905,1,0.160141694,0
66265,L,0.132622125,0.557040111,0.519729373,0.239635348,0.170011905,0.625941503,0.160141694,1
25532,L,0.132622125,0.189836079,0.519729373,0.245068968,0.109857143,1,0.505273978,0
160000,H,0.132622125,0.557040111,0.519729373,0.336132445,0.795918367,0,0.913960871,0
93150,M,0.132622125,0.189836079,0.519729373,0.261119577,0.745382238,0.625941503,0.913960871,0.915551539
111775,M,0.132622125,0.189836079,0.519729373,0.261119577,0.745382238,0.625941503,0.913960871,0.915551539
28016,L,0.132622125,0.189836079,0.519729373,0.261119577,0.08212585,1,0.104864278,0.915551539
65013,L,0.132622125,0,0.519729373,0.261119577,0.414982993,0,0.505273978,0.915551539
72500,L,0.132622125,0,0.519729373,0.261119577,0.745382238,1,0.913960871,1
18907,L,0.132622125,0.557040111,0.519729373,0.097625656,0.258340136,0.625941503,0.095131379,0.915551539
76833,M,0.132622125,0,0.519729373,0.160193083,0.414982993,0.625941503,0.505273978,1
85000,M,0.132622125,0,0.519729373,0.239635348,0.290594898,1,0.505273978,0
77684,M,0.132622125,0.557040111,0.519729373,0.245068968,0.285135771,0,0.390688382,0.915551539
100000,M,0.132622125,0,0.519729373,0.245068968,0.745382238,1,0.913960871,0.915551539
58000,L,0.132622125,0,0.519729373,0.245068968,0.745382238,0,0.913960871,1
55000,L,0.132622125,0.557040111,0.519729373,0.15197182,0.273435714,1,0.319610051,1
20171,L,0.132622125,0.557040111,0.519729373,0.245068968,0.08212585,0,0.104864278,1
59102,L,0.132622125,0,0.519729373,0.178387902,0.281132653,1,0.260212812,1
112000,M,0.132622125,0.189836079,0.519729373,0.261119577,0.745382238,1,0.913960871,1
100000,M,0.132622125,0,0.519729373,0.259291375,0.489795918,0.625941503,0.44081759,1
69741,L,0.132622125,0.189836079,0,0.261119577,0.290594898,1,0.331894137,1
105000,M,0.132622125,0.557040111,1,0.24923234,0.745382238,1,0.913960871,0.915551539
69999,L,0.132622125,0.189836079,0.519729373,0.259291375,0.336729592,0,0.305778502,1
